regime,horizon,selected_candidate,selection_mae,selection_rmse,model_file,model_sha256
R0,1,B3_C03,31.951415,52.1023,results/models/b3/b3_R0_h1_B3_C03.txt,4ad72ec0c24c93752d67e9065a77c3f54abc0115380d6e16a0dafaea1890a264
R0,6,B3_C04,36.117432,57.980922,results/models/b3/b3_R0_h6_B3_C04.txt,414ff92fb694df4d7c9ed9bbfc87304799696aad8fff322cf54be73a8e35be16
R0,12,B3_C03,42.846422,66.516598,results/models/b3/b3_R0_h12_B3_C03.txt,7c27ba0f80b33089dfc103ad2ec9d57b68f1778ddecc4f7565dc4fa7bff486fd
R0,24,B3_C02,51.577856,76.662943,results/models/b3/b3_R0_h24_B3_C02.txt,1b425d659d4c81e0cf40e51e3d27e017bd8d21313110c0ffe43f8c9cbc865b10
R1,1,B3_C07,9.24478,18.983072,results/models/b3/b3_R1_h1_B3_C07.txt,d98e4aa295b4466584772fbd1d0ef0aa371743e4b988d4cca4555a84e15e3001
R1,6,B3_C02,26.713071,48.18176,results/models/b3/b3_R1_h6_B3_C02.txt,124c700e480e498ab1f98d4875acdb614e53ce4c734dcc2f2571936a1b791e4b
R1,12,B3_C02,37.29794,61.938505,results/models/b3/b3_R1_h12_B3_C02.txt,97539aa1846d864ee102660494382602637f9ecc7da9cc8abe1f85a2c8fb9a37
R1,24,B3_C02,48.634585,75.672644,results/models/b3/b3_R1_h24_B3_C02.txt,19e373f1a9c84fa04837e323e777be11caea12de7f6ffce3535bf0815c2abe4f
R2,1,B3_C07,9.022346,18.787227,results/models/b3/b3_R2_h1_B3_C07.txt,347b8de0734ebba4bedc4a6b4d1b2da35a69dd86c40233f88b17be92c2655ac6
R2,6,B3_C02,26.457257,47.985493,results/models/b3/b3_R2_h6_B3_C02.txt,c5a1266a1935dfe57a6698f5441fcb5c09950d3b7633669d385b32770f8b190f
R2,12,B3_C01,36.763023,61.569782,results/models/b3/b3_R2_h12_B3_C01.txt,910c62f2344ac65b3534056f77aee1addb2bbc47e20adc1bf97a16c625b265d8
R2,24,B3_C01,48.204264,74.788237,results/models/b3/b3_R2_h24_B3_C01.txt,3133a922b953b63fe64d9e00db17fb9be4b073ca1e73605909b15e0765015000
